,CompanyName,CIN_Number,gst
208,PACE PROCESS CONTROLS PRIVATE LIMITED   ,U74210AP1996PTC024612,08AABCP0461E1ZT
209,SURI ENGINEERS PVT LTD   ,U74210AP1974PTC001794,36AACCS8544A1ZI
210,GRAM TARANG INCLUSIVE DEVELOPMENT SERVICES PRIVATE LIMITED - GRAM TARANG INCLUSIVE,U74120AP2011PTC073773,37AAECG3936C1ZS
211,MANDAVA HOLDINGS PRIVATE LIMITED   ,U74120AP2008PTC074522,37AAFCM4964M1ZU
212,ADIUVO DIAGNOSTICS PRIVATE LIMITED - Adiuvo Diagnostics,U74120AP2015PTC097966,37AAOCA0680R1ZY
213,DR. RAMESH CARDIAC AND MULTISPECIALITY HOSPITAL PRIVATE LIMITED  ,U73100AP1995PTC020491,37AAACC8955H1ZD
214,SOUTH INDIA RESEARCH INSTITUTE PVT LTD   ,U73100AP1950PTC000420,37AADCS1247F1ZJ
215,ERUVAKA TECHNOLOGIES PRIVATE LIMITED - Eruvaka Technologies,U72300AP2012PTC083430,37AADCE1790K1ZE
216,HIPPOCAMPUS INFOTECH PRIVATE LIMITED   ,U72300AP2008PTC059831,29AACCH0762M1ZB
217,AVYA INVENTRAX PRIVATE LIMITED   ,U72200AP2013PTC088292,37AALCA7297D1ZB
218,ZEBI DATA INDIA PRIVATE LIMITED   ,U72200AP2015PTC096738,37AAACZ8441M1ZQ
219,HYDERABAD INFORMATION TECHNOLOGY VENTURE ENTERPRISES LIMITED  ,U72200AP1998PLC029282,36AAACH9356F1ZH
220,WORLD INFOTECH PRIVATE LIMITED   ,U72200AP1997PTC028438,27AABCW5652L2ZV
221,MIRACLE SOFTWARE SYSTEMS (INDIA) PRIVATE LIMITED  ,U72200AP1997PTC028231,37AABCM4988R1ZG
222,CADSYS ( INDIA ) LIMITED   ,U72200AP1992PLC014558,36AABCC5710D1Z7
223,NETMATRIX CROP CARE LIMITED   ,U72200AP2000PLC033959,03AABCN3529P1ZB
224,EDELCAP SECURITIES LIMITED - Edelcap Securities,U67120AP2008PLC057145,33AABCE9000A1ZI
225,ARCADIA SHARE AND STOCK BROKERS PRIVATE LIMITED - ARCADIA,U67120AP1995PTC054217,24AAACA4562G1Z1
226,VAISHNOVI INFRATECH LIMITED   ,U70102AP2006PLC049894,36AADCT8965D1Z1
227,NCC INFRASTRUCTURE HOLDINGS LIMITED   ,U67110AP2005PLC046367,36AACCN1205B1Z9
228,MAXIMUS ARC LIMITED - MAXIMUS ARC,U67190AP2015PLC095944,37AAJCM5736H1Z5
229,TRIDENT MICROFIN PRIVATE LIMITED   ,U67190AP1996PTC085896,36AABCA3778P1Z4
230,NATWEST ESTATES PRIVATE LIMITED   ,U67190AP1995PTC019251,33AABCN5445J1ZH
231,INDIAN SCHOOL FINANCE COMPANY PRIVATE LIMITED - CORPORATE DEPOSITS,U65921AP1994PTC065392,33AAACC6586G7ZI
232,IKF FINANCE LIMITED - IKF,U65992AP1991PLC012736,27AAACI4784J1Z8
